Drug Name,1,2,3,4,5,6,7,8,9,10
Naproxen,TEVA/RTP/ACT,APO,,,,,,,,
Naproxen EC,TEVA/RTP/ACT,APO,,,,,,,,
Naproxen Sodium,TEVA/RTP/ACT,APO,,,,,,,,
Naratriptan,SDZ,TEVA/RTP/ACT,,,,,,,,
Nebivolol,JAMP,PRZ,,,,,,,,
Nevirapine,AURO,MYLAN,JAMP,,,,,,,
Nifedipine,AA,,,,,,,,,
Nifedipine XL,MYLAN,MINT (ADALAT),PMS,,,,,,,
Nintedanib,AURO,JAMP,,,,,,,,
Nitrofurantoin,AA,,,,,,,,,
Nitrofurantoin Macrocrystals,TEVA/RTP/ACT,JAMP,,,,,,,,
Nitrofurantoin Monohydrate/Macrocrystals,PMS,JAMP,AURO,,,,,,,
Nitroglycerin Patch,MYLAN,,,,,,,,,
Nitroglycerin Pumpspray,MYLAN,,,,,,,,,
Norepinephrine Injection,SDZ,,,,,,,,,
"Norethidrone (Brand-Micronor, Myl-Movisse)",MYLAN,,,,,,,,,
"Norethidrone / Ethinyl Estradiol (Brand-Lolo, Apo-Elfy)",APO,,,,,,,,,
Norfloxacin,AA,,,,,,,,,
Nortriptyline,AA,,,,,,,,,
Nystatin,TEVA/RTP,PMS,JAMP,,,,,,,
Octreotide Injection,TEVA/RTP/ACT,JAMP,,,,,,,,
Olanzapine,TEVA/RTP/ACT,SDZ,JAMP,APO,MINT,PMS,,,,
Olanzapine ODT,SDZ,JAMP,APO,PMS,MINT,,,,,
Olmesartan,APO,SDZ,AURO,PMS,JAMP,,,,,
Olmesartan / HCT,APO,AURO,,,,,,,,
Olopatadine,SDZ,JAMP,MINT,APO,,,,,,
Omeprazole,APO,JAMP,TEVA/RTP/ACT,,,,,,,
Ondansetron,SDZ,TEVA/RTP/ACT,PMS,APO,MAR,MINT,JAMP,MYLAN,,
Ondansetron Injection,SDZ,,,,,,,,,
Ondansetron ODT,MAR,PMS,AURO,SDZ,JAMP,MINT,,,,
Ondansetron Oral Solution,APO,JAMP,MINT,,,,,,,
Orphenadrine,SDZ,,,,,,,,,
Oseltamivir,MINT,JAMP,,,,,,,,
OTC-Acetaminophen,APO,JAMP,,,,,,,,
OTC-Acetylsalicylic Acid (Pms-Praxis),JAMP,PMS,,,,,,,,
OTC-Bisacodyl,JAMP,,,,,,,,,
OTC-Bisacodyl Supp,JAMP,,,,,,,,,
OTC-Calcium + Vit D,JAMP,,,,,,,,,
OTC-Calcium Carbonate,JAMP,,,,,,,,,
